Name,Picture Link,Title,Citation Total,h Index,i-10Index
Stan B Floresco,https://scholar.google.ca/citations?view_op=view_photo&user=Z9AQa0YAAAAJ&citpid=5,"Professor of Psychology, University of British Columbia",14824,64,102
S.E. Salcudean,https://scholar.google.ca/citations?view_op=view_photo&user=kpp_A9wAAAAJ&citpid=2,"C.A. Laszlo and Canada Research Chair, Electrical and Computer Engineering, UBC",14761,67,210
Tim H. Murphy,https://scholar.google.ca/citations?view_op=view_photo&user=qJjM8hkAAAAJ&citpid=3,University of British Columbia,14714,62,130
Gail Murphy,https://scholar.google.ca/citations?view_op=view_photo&user=EGA1deoAAAAJ&citpid=2,"Professor of Computer Science, University of British Columbia",14667,59,114
David Fraser,https://scholar.google.ca/citations?view_op=view_photo&user=HArOOz4AAAAJ&citpid=2,"Professor, Animal Welfare Program, University of British Columbia",14564,70,171
Thomas R. Oxland,https://scholar.google.ca/citations?view_op=view_photo&user=SnT7TpYAAAAJ&citpid=2,"Professor of Orthopaedics and Mechanical Engineering, University of British Columbia",14527,63,144
Kathleen A. Martin Ginis,https://scholar.google.ca/citations?view_op=view_photo&user=u2j1cZYAAAAJ&citpid=2,University of British Columbia,14502,67,204
Carl J Douglas,https://scholar.google.ca/citations?view_op=view_photo&user=XS05gREAAAAJ&citpid=2,"Professor of Botany, University of British Columbia",14451,62,111
Brian MacVicar,https://scholar.google.ca/citations?view_op=view_photo&user=Sx3420cAAAAJ&citpid=1,"Professor, University of British Columbia",14368,66,124
Liisa Galea,https://scholar.google.ca/citations?view_op=view_photo&user=Q--hI3oAAAAJ&citpid=2,"Professor, Department of Psychology, University of British Columbia",14367,63,134
